

=== PERIOD 1400D ===
Period,Date,Index,Type,Price,Qty,Reason,PnL_Trade,Equity
1400,2023-06-16 16:00:00,3226,BUY,26345.00,3.587895,Buy 4H,0.00,236321.88
1400,2023-06-18 04:00:00,3235,BUY,26584.98,3.568318,Buy 4H,0.00,237173.42
1400,2023-06-18 16:00:00,3238,BUY,26339.97,1.781359,Buy 4H,0.00,235415.38
1400,2023-09-11 00:00:00,3744,SELL,25162.52,8.937572,SL DOWN Full,-11415.87,224869.35
1400,2023-09-11 00:00:00,3744,SHORT,25162.52,8.936678,Short on Stop (SL DOWN),0.00,224846.86
1400,2023-09-18 00:00:00,3786,COVER_SHORT,26762.51,8.936678,Buy Signal Trigger,0.00,210524.35
1400,2023-09-18 00:00:00,3786,BUY,26762.51,3.146241,Buy 4H,0.00,210515.93
1400,2023-09-18 12:00:00,3789,BUY,27269.42,3.111024,Buy 4H,0.00,212102.31
1400,2023-09-21 00:00:00,3804,SELL,26568.08,6.257266,SL UP Full,-2793.61,207697.21
1400,2023-09-21 00:00:00,3804,SHORT,26568.08,7.817547,Short on Stop (SL UP),0.00,207676.44
1400,2023-09-28 00:00:00,3846,COVER_SHORT,27021.39,7.817547,Buy Signal Trigger,0.00,204111.54
1400,2023-09-28 00:00:00,3846,BUY,27021.39,3.021179,Buy 4H,0.00,204103.38
1400,2023-09-28 16:00:00,3850,BUY,27021.39,3.021058,Buy 4H,0.00,204095.22
1400,2023-10-01 04:00:00,3865,BUY,27107.95,1.505886,Buy 4H,0.00,204614.15
1400,2024-01-08 00:00:00,4458,SELL,46951.04,3.774062,TP After,75150.55,354374.52
1400,2024-01-08 00:00:00,4458,SELL,46951.04,3.774062,TP Fixed,75150.55,354356.80
1400,2024-01-08 12:00:00,4461,BUY,44963.04,3.152112,Buy 4H,0.00,354342.63
1400,2024-01-10 16:00:00,4474,BUY,46653.99,3.083438,Buy 4H,0.00,359658.30
1400,2024-01-12 00:00:00,4482,SELL,42782.73,6.235550,SL DOWN Full,-18809.37,335492.19
1400,2024-01-12 00:00:00,4482,SHORT,42782.73,7.841767,Short on Stop (SL DOWN),0.00,335458.64
1400,2024-01-25 08:00:00,4562,COVER_SHORT,39804.24,7.841767,Buy Signal Trigger,0.00,358784.05
1400,2024-01-25 08:00:00,4562,BUY,39804.24,3.605125,Buy 4H,0.00,358769.70
1400,2024-01-26 12:00:00,4569,BUY,41422.99,3.520451,Buy 4H,0.00,364590.91
1400,2024-01-27 12:00:00,4575,BUY,41814.00,1.660240,Buy 4H,0.00,367370.14
1400,2024-03-11 00:00:00,4836,SELL,72078.10,4.392908,TP After,137258.40,633233.31
1400,2024-03-11 00:00:00,4836,SELL,72078.10,4.392908,TP Fixed,137258.40,633201.65
1400,2024-03-11 08:00:00,4838,BUY,72010.00,3.516947,Buy 4H,0.00,633176.32
1400,2024-03-13 00:00:00,4848,BUY,73072.41,5.198720,Buy 1D,0.00,636874.77
1400,2024-03-14 00:00:00,4854,SELL,71388.94,8.715667,SL UP Full,-10936.12,622139.99
1400,2024-03-14 00:00:00,4854,SHORT,71388.94,8.714795,Short on Stop (SL UP),0.00,622077.77
1400,2024-03-20 20:00:00,4895,COVER_SHORT,67840.51,8.714795,Buy Signal Trigger,0.00,652942.49
1400,2024-03-20 20:00:00,4895,BUY,67840.51,3.849483,Buy 4H,0.00,652916.37
1400,2024-03-21 00:00:00,4896,SELL,65501.27,3.849483,SL DOWN Full,-9004.86,643886.29
1400,2024-03-21 00:00:00,4896,SHORT,65501.27,9.830135,Short on Stop (SL DOWN),0.00,643821.91
1400,2024-03-24 12:00:00,4917,COVER_SHORT,65673.36,9.830135,Buy Signal Trigger,0.00,642065.68
1400,2024-03-24 12:00:00,4917,BUY,65673.36,3.910270,Buy 4H,0.00,642040.00
1400,2024-03-25 16:00:00,4924,BUY,69880.01,3.768879,Buy 4H,0.00,658462.80
1400,2024-03-28 08:00:00,4940,BUY,71290.39,1.708948,Buy 4H,0.00,669281.13
1400,2024-03-29 00:00:00,4944,SELL,69850.54,9.388097,SL UP Full,13762.21,655698.10
1400,2024-03-29 00:00:00,4944,SHORT,69850.54,9.387159,Short on Stop (SL UP),0.00,655632.53
1400,2024-04-08 08:00:00,5006,COVER_SHORT,71773.98,9.387159,Buy Signal Trigger,0.00,637509.52
1400,2024-04-08 08:00:00,5006,BUY,71773.98,3.552517,Buy 4H,0.00,637484.02
1400,2024-04-09 00:00:00,5010,SELL,69146.00,3.552517,SL UP Full,-9335.94,628123.51
1400,2024-04-09 00:00:00,5010,SHORT,69146.00,9.084018,Short on Stop (SL UP),0.00,628060.70
1400,2024-05-13 08:00:00,5216,COVER_SHORT,63002.00,9.084018,Buy Signal Trigger,0.00,683815.68
1400,2024-05-13 08:00:00,5216,BUY,63002.00,4.341115,Buy 4H,0.00,683788.32
1400,2024-05-19 08:00:00,5252,BUY,66889.88,4.189548,Buy 4H,0.00,700638.03
1400,2024-05-20 16:00:00,5260,BUY,71446.62,1.819680,Buy 4H,0.00,739497.04
1400,2024-05-22 00:00:00,5268,SELL,69166.62,10.350343,SL UP Full,32150.97,715826.67
1400,2024-05-22 00:00:00,5268,SHORT,69166.62,10.349308,Short on Stop (SL UP),0.00,715755.09
1400,2024-05-25 00:00:00,5286,COVER_SHORT,69290.57,10.349308,Buy Signal Trigger,0.00,714400.58
1400,2024-05-25 00:00:00,5286,BUY,69290.57,10.309183,Buy 1D,0.00,714329.14
1400,2024-05-29 00:00:00,5310,SELL,67652.42,10.309183,SL UP Full,-16887.99,697371.41
1400,2024-05-29 00:00:00,5310,SHORT,67652.42,10.308152,Short on Stop (SL UP),0.00,697301.67
1400,2024-06-05 00:00:00,5352,COVER_SHORT,71108.00,10.308152,Buy Signal Trigger,0.00,661607.73
1400,2024-06-05 00:00:00,5352,BUY,71108.00,9.303335,Buy 1D,0.00,661541.57
1400,2024-06-07 00:00:00,5364,SELL,69355.60,9.303335,SL UP Full,-16303.16,645173.88
1400,2024-06-07 00:00:00,5364,SHORT,69355.60,9.302405,Short on Stop (SL UP),0.00,645109.36
1400,2024-06-07 04:00:00,5365,COVER_SHORT,71110.00,9.302405,Buy Signal Trigger,0.00,628723.07
1400,2024-06-07 04:00:00,5365,BUY,71110.00,3.536269,Buy 4H,0.00,628697.92
1400,2024-06-08 00:00:00,5370,SELL,69310.46,3.536269,SL UP Full,-6363.66,622309.76
1400,2024-06-08 00:00:00,5370,SHORT,69310.46,8.978584,Short on Stop (SL UP),0.00,622247.53
1400,2024-06-28 00:00:00,5490,COVER_SHORT,60427.84,8.978584,Buy Signal Trigger,0.00,701946.62
