

=== PERIOD 1400D ===
Period,Date,Index,Type,Price,Qty,Reason,PnL_Trade,Equity
1800,2024-07-20 00:00:00,7836,COVER_SHORT,3520.21,230.794082,Buy Signal Trigger,0.00,885023.81
1800,2024-07-20 00:00:00,7836,BUY,3520.21,251.387077,Buy 1D,0.00,884935.30
1800,2024-07-22 00:00:00,7848,SELL,3443.04,251.387077,SL UP Full,-19399.54,865449.21
1800,2024-07-22 00:00:00,7848,SHORT,3443.04,251.361938,Short on Stop (SL UP),0.00,865362.66
1800,2024-08-24 00:00:00,8046,COVER_SHORT,2769.79,251.361938,Buy Signal Trigger,0.00,1034522.47
1800,2024-08-24 00:00:00,8046,BUY,2769.79,373.464781,Buy 1D,0.00,1034419.01
1800,2024-08-26 00:00:00,8058,SELL,2682.38,373.464781,SL DOWN Full,-32644.56,1001674.28
1800,2024-08-26 00:00:00,8058,SHORT,2682.38,373.427434,Short on Stop (SL DOWN),0.00,1001574.11
1800,2024-09-20 00:00:00,8208,COVER_SHORT,2561.87,373.427434,Buy Signal Trigger,0.00,1046480.19
1800,2024-09-20 00:00:00,8208,BUY,2561.87,408.442090,Buy 1D,0.00,1046375.54
1800,2024-10-01 00:00:00,8274,SELL,2448.98,408.442090,SL DOWN Full,-46109.03,1000166.48
1800,2024-10-01 00:00:00,8274,SHORT,2448.98,408.401246,Short on Stop (SL DOWN),0.00,1000066.47
1800,2024-11-07 00:00:00,8496,COVER_SHORT,2897.62,408.401246,Buy Signal Trigger,0.00,816722.99
1800,2024-11-07 00:00:00,8496,BUY,2897.62,281.831752,Buy 1D,0.00,816641.32
1800,2025-02-04 00:00:00,9030,SELL,2732.75,281.831752,SL DOWN Full,-46465.60,770098.70
1800,2025-02-04 00:00:00,9030,SHORT,2732.75,281.803569,Short on Stop (SL DOWN),0.00,770021.69
1800,2025-04-23 00:00:00,9498,COVER_SHORT,1796.15,281.803569,Buy Signal Trigger,0.00,1033908.30
1800,2025-04-23 00:00:00,9498,BUY,1796.15,575.567134,Buy 1D,0.00,1033804.91
1800,2025-07-10 00:00:00,9966,SELL,2951.06,287.783567,TP After,332364.12,1698448.22
1800,2025-07-10 00:00:00,9966,BUY,2951.06,287.726013,Buy 1D,0.00,1698363.30
1800,2025-08-09 00:00:00,10146,SELL,4262.78,575.509580,TP Fixed,1087271.55,2453025.40
1800,2025-08-09 00:00:00,10146,BUY,4262.78,575.394484,Buy 1D,0.00,2452780.10
1800,2025-08-19 00:00:00,10206,SELL,4076.70,575.394484,SL DOWN Full,-107069.41,2345476.12
1800,2025-08-19 00:00:00,10206,SHORT,4076.70,575.336944,Short on Stop (SL DOWN),0.00,2345241.57
1800,2025-10-03 00:00:00,10476,COVER_SHORT,4512.67,575.336944,Buy Signal Trigger,0.00,2094152.30
1800,2025-10-03 00:00:00,10476,BUY,4512.67,464.014182,Buy 1D,0.00,2093942.88
1800,2025-10-09 00:00:00,10512,SELL,4369.08,464.014182,SL DOWN Full,-66627.80,2027112.35
