time,open,high,low,close,Plot,Plot,Plot,Plot,Volume,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1602806400,377.70923731,380.01568138,361.4649291,365.63228058,365.68004034948365,363.3871510897018,343.94286346098875,302.34497734043515,316587.09461164,50.23254148427357,51.409337980741675,NaN,NaN,NaN,NaN
1602892800,365.79161134,370.7471824,363.73591446,368.57570456,365.9558178933423,363.5906237748115,344.43064249265234,303.0039895515751,156079.33745693,51.60451553528712,51.92584805897112,NaN,NaN,NaN,NaN
1602979200,368.54419726,378.8960248,367.5816357,378.52877033,367.15324193492876,364.1764334436424,345.10585294487703,303.75547990757934,160025.15510506,56.01968616301846,52.5786167261951,NaN,NaN,NaN,NaN
1603065600,378.44233535,384.683975,372.90669343,379.5931946,368.3379993316022,364.7810123125192,345.7887706014141,304.5100840338721,245853.65660886,56.476989276507716,53.22867035902954,NaN,NaN,NaN,NaN
1603152000,379.55333374,381.09610222,365.05732025,368.93183157,368.3945547828782,364.9437895383027,346.2470490364356,305.1510964471669,343179.95327254,50.78146500830211,53.798377861422864,NaN,NaN,NaN,NaN
1603238400,368.96501687,402.75767415,368.15609512,391.32801333,370.57869369212784,365.97846498111437,347.1397413986844,306.00857820719506,443911.31673293,59.92444295994767,54.99672732167788,NaN,NaN,NaN,NaN
1603324800,391.23772831,421.50995515,390.74455163,414.49774008,374.76146001478236,367.8811816516589,348.4735631547501,307.08807235518316,324717.86158553,66.79633889826331,56.37931261059688,NaN,NaN,NaN,NaN
1603411200,414.47958789,420.19711737,401.53167542,409.71031691,378.0899225762317,369.52153989708404,349.68617214000255,308.10918921642514,194458.88975459,64.34133240260878,57.175066134141396,NaN,NaN,NaN,NaN
1603497600,409.74407089,416.00706763,407.54544443,412.58160461,381.3748446746858,371.21016988582585,350.93162624831933,309.14871573775423,153303.89186461,65.16819908344505,57.882713505259495,NaN,NaN,NaN,NaN
1603584000,412.62695894,419.19164219,402.29930787,406.26188225,383.74503872947764,372.5847468412837,352.027274882016,310.1150159020552,137474.81405889,61.772927370407025,58.252990023968096,NaN,NaN,NaN,NaN
1603670400,406.23291756,411.44098932,382.21048976,393.27870131,384.6530065942893,373.39627446750785,352.844134811283,310.94251525934817,267416.39619902,55.38844380923879,57.85967609247535,NaN,NaN,NaN,NaN
1603756800,393.24432805,410.93017863,390.24618907,404.23340928,386.5178068500713,374.6055738719193,353.8617442067032,311.8707828615437,263151.895472,59.21841953397086,57.9331547011015,NaN,NaN,NaN,NaN
1603843200,404.740553,409.35000219,380.31628953,388.7261767,386.7281277881597,375.1593230024323,354.55212900855065,312.63551314849354,289368.0410401,52.36499138576999,57.598717605598715,NaN,NaN,NaN,NaN
1603929600,388.74281696,394.58342512,380.51894156,387.60403882,386.8115478864302,375.64735107370944,355.2066222721437,313.381468627812,235097.51143232,51.896944407657735,57.284802665621335,NaN,NaN,NaN,NaN
