time,open,high,low,close,EMA,EMA,MA200,MA50,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Net Change,SMA Net New Highs,52-week High of Net New Highs,156-week High of Net New Highs,New Highs & New Lows,New Highs & New Lows,New Highs,New Lows,Accumulation/Distribution,S6OH · INDEX: close,Index,Index
1504569600,4106.97,4190.4,3603,4190.4,4094.900243331909,4396.272270691812,4325.1348,NaN,42.239502022798845,53.386810496726476,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,373.7277763907584,NaN,NaN,NaN
1504598400,4190,4298,4050,4151,4148.652585099534,4372.913006816401,4325.3552,NaN,41.08070965720804,51.30476312460725,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,287.0714046004358,NaN,NaN,NaN
1504627200,4140,4484.99,4096.06,4366.47,4272.13138766812,4372.299387119601,4329.5671999999995,NaN,49.27618290325292,49.923424458464645,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,389.06908251581945,NaN,NaN,NaN
1504656000,4366.49,4522.81,4335.26,4461.29,4359.551363019872,4380.774683584401,4336.293,NaN,52.41309136094514,48.49579545823874,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,510.73811074620994,NaN,NaN,NaN
1504684800,4476.13,4619.47,4422.28,4619.43,4456.773676753645,4403.503761338267,4346.9558,NaN,57.1703908759746,47.32868707830507,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,947.4524807795283,NaN,NaN,NaN
1504713600,4619.43,4662.87,4610,4619.77,4472.297136110441,4424.1005459727185,4358.4785999999995,NaN,57.18030235495925,47.00505778006455,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,936.8970784466366,NaN,NaN,NaN
1504742400,4619.77,4661.93,4438.19,4510.25,4494.060922126812,4432.305255880078,4368.2436,NaN,52.93112661870343,47.393153878951544,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,882.4081122650867,NaN,NaN,NaN
1504771200,4475.01,4759.25,4458,4755,4582.541992936448,4463.038088653404,4383.0235999999995,NaN,60.07197794235468,48.24508881773049,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1132.8563047870784,NaN,NaN,NaN
1504800000,4755,4788.59,4586.13,4691.61,4638.274428653142,4484.806842114985,4400.8942,NaN,57.633203244972286,48.39768369160655,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1136.6176443381005,NaN,NaN,NaN
1504828800,4691.66,4735.39,4586.13,4619.01,4625.307475695011,4497.588095246891,4416.1098,NaN,54.884969136988374,49.12896966870398,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1085.8603724601694,NaN,NaN,NaN
1504857600,4625.36,4699.77,4028.93,4348.65,4553.935428307602,4483.403514747187,4422.2828,NaN,46.07393689249197,48.83550380513551,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1061.1247155935532,NaN,NaN,NaN
1504886400,4330.68,4396.49,4060,4282.8,4378.797723769299,4464.298418104598,4426.4412,NaN,44.212219694941545,49.188082540931994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1227.4902689962407,NaN,NaN,NaN
1504915200,4282.8,4426.62,4150.06,4321.52,4328.451088984095,4450.700473523208,4428.9306,NaN,45.604059117293765,49.95162507618573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1305.085700847847,NaN,NaN,NaN
1504944000,4336.19,4400.6,4245.94,4276,4312.2150864582845,4434.062333187664,4432.1704,NaN,44.207692411254456,50.35566887386708,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1192.3087539100486,NaN,NaN,NaN
