time,open,high,low,close,4H BUY,8H BUY,1D BUY,SL HIT (UP),SL HIT (DOWN),TP HIT,EMA TP HIT,EMA,EMA,MA200,MA50,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Net Change,SMA Net New Highs,52-week High of Net New Highs,156-week High of Net New Highs,New Highs & New Lows,New Highs & New Lows,New Highs,New Lows,Accumulation/Distribution,S6OH · INDEX: close,Index,Index
1270128600,42.89999,43.07001,42.64999,42.92,0,0,0,0,0,0,0,42.759520628989584,42.08165557379473,40.45165280000001,37.281241399999985,68.30553014719794,69.45192762302595,NaN,NaN,NaN,NaN,146,126.06,274,274,NaN,NaN,NaN,NaN,81571999.21808223,81.83,NaN,NaN
1270474200,43.14999,43.48,42.99899,43.48,0,0,0,0,0,0,0,43.081043082834924,42.21483123343332,40.52385280000001,37.34529139999999,73.13081751005328,69.46689668685202,NaN,NaN,NaN,NaN,220,128.56,274,274,NaN,NaN,NaN,NaN,82491995.21808223,85.17,NaN,NaN
1270560600,43.36,43.67,43.25,43.57001,1,0,0,0,0,0,0,43.30655414399617,42.34389587786824,40.61725320000001,37.409291449999984,73.82071550253451,69.29244802092369,NaN,NaN,NaN,NaN,220,132.02,274,274,NaN,NaN,NaN,NaN,83211312.89036797,86.83,NaN,NaN
1270647000,43.55,43.57001,43.08009,43.3,0,0,0,0,0,0,0,43.34263447451,42.43495341330936,40.70045320000001,37.471391449999985,68.16646588694371,68.55290340693682,NaN,NaN,NaN,NaN,187,134.98,274,274,NaN,NaN,NaN,NaN,83056963.43351784,85.67,NaN,NaN
1270733400,43.14999,43.41,42.89,43.36,0,0,0,0,0,0,0,43.3084286849014,42.523053088232274,40.787653200000015,37.53929144999999,68.73945886972724,68.15787208144185,NaN,NaN,NaN,NaN,143,136.88,274,274,NaN,NaN,NaN,NaN,83663879.587364,84.17,NaN,NaN
1270819800,43.47,43.69,43.3399,43.67999,1,0,0,0,0,0,0,43.433526345071726,42.63323755601968,40.87905300000001,37.60884139999999,71.66836788365866,68.47315560449192,NaN,NaN,NaN,NaN,184,139.46,274,274,NaN,NaN,NaN,NaN,84288124.88459337,85.17,NaN,NaN
1271079000,43.7,43.87,43.67,43.75,0,0,0,0,0,0,0,43.604213330249365,42.7395958840178,40.98005300000002,37.677041399999986,72.28030416661872,68.65134998922589,NaN,NaN,NaN,NaN,229,142.9,274,274,NaN,NaN,NaN,NaN,84142851.88459337,84,NaN,NaN
1271165400,43.75,43.87,43.46001,43.82001,0,0,0,0,0,0,0,43.6636261527006,42.842492466492295,41.09208120000001,37.741791449999994,72.91042166293342,68.68173285282539,NaN,NaN,NaN,NaN,179,145.52,274,274,NaN,NaN,NaN,NaN,84608989.75307798,84.83,NaN,NaN
1271251800,43.97,44.39,43.89,44.39,1,0,0,0,0,0,0,43.938421520810934,42.989874136350174,41.20248120000002,37.809941499999994,77.41232746258225,69.47552256342742,NaN,NaN,NaN,NaN,349,151.58,349,349,NaN,NaN,NaN,NaN,85280015.75307798,89,NaN,NaN
1271338200,44.31,44.50999,44.25,44.39,0,0,0,0,0,0,0,44.16883226210715,43.123219456697775,41.301081000000025,37.8764915,77.41232746258225,70.50209166287982,NaN,NaN,NaN,NaN,353,157.3,353,353,NaN,NaN,NaN,NaN,85376455.73326953,88.67,NaN,NaN
